Team	Pos	Name	Club	Age	Caps	Goals	Captain?																		
Mexico	DF	Jorge Sánchez	PAOK	28	58	3																			
Mexico	DF	César Montes	Lokomotiv Moscow	29	66	4																			
Mexico	MF	Edson Álvarez	Fenerbahçe	28	97	7	Captain																		
Mexico	DF	Johan Vásquez	Genoa	27	45	2																			
Mexico	MF	Érik Lira	Cruz Azul	26	24	0																			
Mexico	MF	Luis Romo	Guadalajara	31	62	4																			
Mexico	MF	Álvaro Fidalgo	Real Betis	29	3	0																			
Mexico	FW	Raúl Jiménez	Fulham	35	123	44																			
Mexico	FW	Alexis Vega	Toluca	28	51	7																			
Mexico	FW	Santiago Giménez	Milan	25	47	6																			
Mexico	GK	Carlos Acevedo	Santos Laguna	30	7	0																			
Mexico	GK	Guillermo Ochoa	AEL Limassol	40	152	0																			
Mexico	FW	Armando González	Guadalajara	23	7	1																			
Mexico	DF	Israel Reyes	América	26	33	2																			
Mexico	FW	Julián Quiñones	Al-Qadsiah	29	21	2																			
Mexico	MF	Orbelín Pineda	AEK Athens	30	91	12																			
Mexico	MF	Obed Vargas	Atlético Madrid	20	6	0																			
Mexico	MF	Gilberto Mora	Tijuana	17	7	0																			
Mexico	DF	Mateo Chávez	AZ	22	9	0																			
Mexico	FW	César Huerta	Anderlecht	25	26	3																			
Mexico	FW	Guillermo Martínez	UNAM	31	11	3																			
Mexico	DF	Jesús Gallardo	Toluca	31	120	3																			
Mexico	MF	Luis Chávez	Dynamo Moscow	30	44	4																			
Mexico	MF	Roberto Alvarado	Guadalajara	27	66	5																			
Mexico	MF	Brian Gutiérrez	Guadalajara	22	6	2																			
South Africa	GK	Ronwen Williams	Mamelodi Sundowns	34	62	0	Captain																		
South Africa	GK	Ricardo Goss	Siwelele	32	4	0																			
South Africa	GK	Sipho Chaine	Orlando Pirates	29	3	0																			
South Africa	DF	Aubrey Modiba	Mamelodi Sundowns	30	44	3																			
South Africa	DF	Khuliso Mudau	Mamelodi Sundowns	31	32	1																			
South Africa	DF	Nkosinathi Sibisi	Orlando Pirates	30	19	0																			
South Africa	DF	Mbekezeli Mbokazi	Chicago Fire FC	20	10	1																			
South Africa	DF	Ime Okon	Hannover 96	22	7	1																			
South Africa	DF	Samukele Kabini	Molde	22	5	0																			
South Africa	DF	Khulumani Ndamane	Mamelodi Sundowns	22	5	0																			
South Africa	DF	Thabang Matuludi	Polokwane City	27	2	0																			
South Africa	DF	Kamogelo Sebelebele	Orlando Pirates	23	2	0																			
South Africa	DF	Bradley Cross	Kaizer Chiefs	25	0	0																			
South Africa	DF	Olwethu Makhanya	Philadelphia Union	22	0	0																			
South Africa	MF	Teboho Mokoena	Mamelodi Sundowns	29	51	9																			
South Africa	MF	Sphephelo Sithole	Tondela	27	27	1																			
South Africa	MF	Thalente Mbatha	Orlando Pirates	26	14	3																			
South Africa	MF	Jayden Adams	Mamelodi Sundowns	25	4	0																			
South Africa	FW	Themba Zwane	Mamelodi Sundowns	36	53	12																			
South Africa	FW	Lyle Foster	Burnley	26	26	10																			
South Africa	FW	Evidence Makgopa	Orlando Pirates	26	26	6																			
South Africa	FW	Oswin Appollis	Orlando Pirates	24	25	8																			
South Africa	FW	Iqraam Rayners	Mamelodi Sundowns	30	13	4																			
South Africa	FW	Relebohile Mofokeng	Orlando Pirates	21	12	0																			
South Africa	FW	Thapelo Maseko	AEL Limassol	22	9	1																			
South Korea	FW	Tshepang Moremi	Orlando Pirates	25	9	1																			
South Korea	GK	Jo Hyeon-woo	Ulsan HD	34	47	0																			
South Korea	GK	Song Bum-keun	Jeonbuk Hyundai Motors	28	2	0																			
South Korea	DF	Kim Min-jae	Bayern Munich	29	77	4																			
South Korea	DF	Kim Moon-hwan	Daejeon Hana Citizen	30	34	0																			
South Korea	DF	Seol Young-woo	Red Star Belgrade	27	32	0																			
South Korea	DF	Cho Yu-min	Sharjah	29	18	0																			
South Korea	DF	Lee Tae-seok	Austria Wien	23	14	1																			
South Korea	DF	Park Jin-seob	Zhejiang FC	30	12	1																			
South Korea	DF	Kim Tae-hyeon	Kashima Antlers	25	7	0																			
South Korea	DF	Lee Han-beom	Midtjylland	23	6	0																			
South Korea	DF	Jens Castrop	Borussia Mönchengladbach	22	5	0																			
South Korea	DF	Lee Ki-hyuk	Gangwon FC	25	1	0																			
South Korea	MF	Lee Jae-sung	Mainz 05	33	103	15																			
South Korea	MF	Hwang Hee-chan	Wolverhampton Wanderers	30	77	16																			
South Korea	MF	Hwang In-beom	Feyenoord	29	71	6																			
South Korea	MF	Lee Kang-in	Paris Saint-Germain	25	46	11																			
South Korea	MF	Paik Seung-ho	Birmingham City	29	25	3																			
South Korea	MF	Kim Jin-gyu	Jeonbuk Hyundai Motors	29	20	3																			
South Korea	MF	Lee Dong-gyeong	Ulsan HD	28	16	3																			
South Korea	MF	Bae Jun-ho	Stoke City	22	12	2																			
South Korea	MF	Eom Ji-sung	Swansea City	24	8	2																			
South Korea	MF	Yang Hyun-jun	Celtic	24	8	0																			
South Korea	FW	Son Heung-min	Los Angeles FC	33	142	54	Captain																		
South Korea	FW	Cho Gue-sung	Midtjylland	28	42	10																			
South Korea	FW	Oh Hyeon-gyu	Beşiktaş	25	26	6																			
Canada	GK	Dayne St. Clair	Inter Miami CF	29	19	0																			
Canada	GK	Maxime Crépeau	Orlando City SC	32	30	0																			
Canada	GK	Owen Goodman	Barnsley	22	0	0																			
Canada	DF	Alistair Johnston	Celtic	27	56	1																			
Canada	DF	Luc de Fougerolles	Dender	20	11	0																			
Canada	DF	Alfie Jones	Middlesbrough	28	1	0																			
Canada	DF	Joel Waterman	Chicago Fire FC	30	17	0																			
Canada	DF	Derek Cornelius	Rangers	28	42	1																			
Canada	DF	Moïse Bombito	Nice	26	19	0																			
Canada	DF	Alphonso Davies	Bayern Munich	25	58	15	Captain																		
Canada	DF	Richie Laryea	Toronto FC	31	73	1																			
Canada	DF	Niko Sigur	Hajduk Split	22	17	2																			
Canada	MF	Mathieu Choinière	Los Angeles FC	27	22	0																			
Canada	MF	Stephen Eustáquio	Los Angeles FC	29	54	4																			
Canada	MF	Ismaël Koné	Sassuolo	23	38	4																			
Canada	MF	Liam Millar	Hull City	26	39	1																			
Canada	MF	Jacob Shaffelburg	Los Angeles FC	26	31	6																			
Canada	MF	Tajon Buchanan	Villarreal	27	58	8																			
Canada	MF	Ali Ahmed	Norwich City	25	24	1																			
Canada	MF	Jonathan Osorio	Toronto FC	33	89	9																			
Canada	MF	Nathan Saliba	Anderlecht	22	13	2																			
Canada	FW	Cyle Larin	Southampton	31	88	30																			
Canada	FW	Jonathan David	Juventus	26	75	39																			
Canada	FW	Tani Oluwaseyi	Villarreal	26	22	2																			
Canada	FW	Promise David	Union Saint-Gilloise	24	8	3																			
Bosnia and Herzegovina	GK	Nikola Vasilj	FC St. Pauli	30	25	0																			
Bosnia and Herzegovina	GK	Martin Zlomislić	Rijeka	27	2	0																			
Bosnia and Herzegovina	GK	Osman Hadžikić	Slaven Belupo	30	0	0																			
Bosnia and Herzegovina	DF	Sead Kolašinac	Atalanta	32	64	0																			
Bosnia and Herzegovina	DF	Dennis Hadžikadunić	Sampdoria	27	30	0																			
Bosnia and Herzegovina	DF	Amar Dedić	Benfica	23	26	1																			
Bosnia and Herzegovina	DF	Nikola Katić	Schalke 04	29	15	1																			
Bosnia and Herzegovina	DF	Tarik Muharemović	Sassuolo	23	12	1																			
Bosnia and Herzegovina	DF	Nihad Mujakić	Gaziantep	28	10	1																			
Bosnia and Herzegovina	DF	Stjepan Radeljić	Rijeka	28	4	0																			
Bosnia and Herzegovina	DF	Nidal Čelik	Lens	19	0	0																			
Bosnia and Herzegovina	MF	Amir Hadžiahmetović	Hull City	29	34	0																			
Bosnia and Herzegovina	MF	Benjamin Tahirović	Brøndby	23	26	2																			
Bosnia and Herzegovina	MF	Armin Gigović	Young Boys	24	18	1																			
Bosnia and Herzegovina	MF	Dženis Burnić	Karlsruher SC	28	18	0																			
Bosnia and Herzegovina	MF	Ivan Bašić	Astana	24	15	0																			
Bosnia and Herzegovina	MF	Esmir Bajraktarević	PSV Eindhoven	21	14	1																			
Bosnia and Herzegovina	MF	Amar Memić	Viktoria Plzeň	25	11	1																			
Bosnia and Herzegovina	MF	Ivan Šunjić	Pafos	29	11	0																			
Bosnia and Herzegovina	MF	Kerim Alajbegović	Red Bull Salzburg	18	8	1																			
Bosnia and Herzegovina	MF	Ermin Mahmić	Slovan Liberec	21	0	0																			
Bosnia and Herzegovina	FW	Edin Džeko	Schalke 04	40	148	73	Captain																		
Bosnia and Herzegovina	FW	Ermedin Demirović	VfB Stuttgart	28	38	4																			
Bosnia and Herzegovina	FW	Samed Baždar	Jagiellonia Białystok	22	11	1																			
Bosnia and Herzegovina	FW	Haris Tabaković	Borussia Mönchengladbach	31	10	4																			
Bosnia and Herzegovina	FW	Jovo Lukić	Universitatea Cluj	27	1	0																			
Qatar	GK	Mahmud Abunada	Al-Rayyan	26	4	0																			
Qatar	GK	Salah Zakaria	Al-Duhail	27	8	0																			
Qatar	GK	Meshaal Barsham	Al-Sadd	28	52	0																			
Qatar	DF	Pedro Miguel	Al-Sadd	35	98	3																			
Qatar	DF	Lucas Mendes	Al-Wakrah	35	25	1																			
Qatar	DF	Issa Laye	Al-Arabi	28	3	0																			
Qatar	DF	Jassem Gaber	Al-Rayyan	24	31	1																			
Qatar	DF	Ayoub Al-Oui	Al-Gharafa	21	5	0																			
Qatar	DF	Homam Ahmed	Cultural Leonesa	26	67	3																			
Qatar	DF	Boualem Khoukhi	Al-Sadd	35	115	20																			
Qatar	DF	Sultan Al-Brake	Al-Duhail	30	16	0																			
Qatar	DF	Al-Hashmi Al-Hussain	Al-Arabi	22	7	0																			
Qatar	MF	Abdulaziz Hatem	Al-Rayyan	36	117	11																			
Qatar	MF	Karim Boudiaf	Al-Duhail	35	117	5																			
Qatar	MF	Ahmed Al-Ganehi	Al-Gharafa	25	13	1																			
Qatar	MF	Ahmed Fathy	Al-Arabi	33	47	0																			
Qatar	MF	Assim Madibo	Al-Wakrah	29	50	0																			
Qatar	FW	Ahmed Alaaeldin	Al-Rayyan	33	67	9																			
Qatar	FW	Edmilson Junior	Al-Duhail	31	15	0																			
Qatar	FW	Mohammed Muntari	Al-Gharafa	32	67	16																			
Qatar	FW	Hassan Al-Haydos	Al-Sadd	35	185	41	Captain																		
Qatar	FW	Akram Afif	Al-Sadd	29	124	39																			
Qatar	FW	Yusuf Abdurisag	Al-Wakrah	26	38	3																			
Qatar	FW	Almoez Ali	Al-Duhail	29	115	55																			
Qatar	FW	Tahsin Jamshid	Al-Duhail	19	2	0																			
Qatar	FW	Mohamed Manai	Al-Shamal	23	9	0																			
Switzerland	GK	Gregor Kobel	Borussia Dortmund	28	20	0																			
Switzerland	GK	Yvon Mvogo	Lorient	32	13	0																			
Switzerland	GK	Marvin Keller	Young Boys	23	1	0																			
Switzerland	DF	Miro Muheim	Hamburger SV	28	9	0																			
Switzerland	DF	Silvan Widmer	Mainz 05	33	59	5																			
Switzerland	DF	Nico Elvedi	Borussia Mönchengladbach	29	66	3																			
Switzerland	DF	Manuel Akanji	Inter Milan	30	80	4																			
Switzerland	DF	Ricardo Rodriguez	Real Betis	33	137	9																			
Switzerland	DF	Eray Cömert	Valencia	28	21	0																			
Switzerland	DF	Aurèle Amenda	Eintracht Frankfurt	22	6	0																			
Switzerland	DF	Luca Jaquez	VfB Stuttgart	23	3	0																			
Switzerland	MF	Denis Zakaria	Monaco	29	64	3																			
Switzerland	MF	Remo Freuler	Bologna	34	87	11																			
Switzerland	MF	Johan Manzambi	SC Freiburg	20	11	3																			
Switzerland	MF	Granit Xhaka	Sunderland	33	145	17	Captain																		
Switzerland	MF	Ardon Jashari	Milan	23	7	0																			
Switzerland	MF	Djibril Sow	Sevilla	29	51	0																			
Switzerland	MF	Christian Fassnacht	Young Boys	32	22	5																			
Switzerland	MF	Michel Aebischer	Pisa	29	39	2																			
Switzerland	MF	Fabian Rieder	FC Augsburg	24	27	1																			
Switzerland	FW	Breel Embolo	Rennes	29	86	24																			
Switzerland	FW	Dan Ndoye	Nottingham Forest	25	30	7																			
Switzerland	FW	Rubén Vargas	Sevilla	27	61	11																			
Switzerland	FW	Noah Okafor	Leeds United	26	24	2																			
Switzerland	FW	Zeki Amdouni	Burnley	25	28	11																			
Switzerland	FW	Cedric Itten	Fortuna Düsseldorf	29	14	5																			
Brazil	GK	Alisson	Liverpool	33	76	0																			
Brazil	GK	Ederson	Fenerbahçe	32	31	0																			
Brazil	GK	Weverton	Grêmio	38	10	0																			
Brazil	DF	Marquinhos	Paris Saint-Germain	32	104	7																			
Brazil	DF	Danilo Luiz	Flamengo	34	68	1																			
Brazil	DF	Alex Sandro	Flamengo	35	43	2																			
Brazil	DF	Gabriel Magalhães	Arsenal	28	17	1																			
Brazil	DF	Bremer	Juventus	29	6	1																			
Brazil	DF	Wesley	Roma	22	6	0																			
Brazil	DF	Roger Ibañez	Al-Ahli	27	5	0																			
Brazil	DF	Douglas Santos	Zenit Saint Petersburg	32	5	0																			
Brazil	DF	Léo Pereira	Flamengo	30	2	0																			
Brazil	MF	Casemiro	Manchester United	34	84	8	Captain																		
Brazil	MF	Lucas Paquetá	Flamengo	28	61	12																			
Brazil	MF	Bruno Guimarães	Newcastle United	28	41	2																			
Brazil	MF	Fabinho	Al-Ittihad	32	31	0																			
Brazil	MF	Danilo Santos	Botafogo	25	2	1																			
Brazil	FW	Neymar	Santos	34	128	79																			
Brazil	FW	Vinícius Júnior	Real Madrid	25	47	8																			
Brazil	FW	Raphinha	Barcelona	29	37	11																			
Brazil	FW	Gabriel Martinelli	Arsenal	24	22	4																			
Brazil	FW	Matheus Cunha	Manchester United	27	21	1																			
Brazil	FW	Endrick	Lyon	19	15	3																			
Brazil	FW	Luiz Henrique	Zenit Saint Petersburg	25	13	2																			
Brazil	FW	Igor Thiago	Brentford	24	2	1																			
Brazil	FW	Rayan	Bournemouth	19	1	0																			
Haiti	GK	Johny Placide	Bastia	38	79	0	Captain																		
Haiti	GK	Alexandre Pierre	Sochaux	25	14	0																			
Haiti	GK	Josué Duverger	Cosmos Koblenz [de]	26	6	0																			
Haiti	DF	Ricardo Adé	LDU Quito	36	57	2																			
Haiti	DF	Carlens Arcus	Angers	29	51	1																			
Haiti	DF	Martin Expérience	Nancy	27	19	0																			
Haiti	DF	Jean-Kévin Duverne	Gent	28	15	1																			
Haiti	DF	Duke Lacroix	Colorado Springs Switchbacks FC	32	14	2																			
Haiti	DF	Wilguens Paugain	Zulte Waregem	24	6	0																			
Haiti	DF	Hannes Delcroix	Lugano	27	5	0																			
Haiti	DF	Keeto Thermoncy	Young Boys	20	1	0																			
Haiti	MF	Leverton Pierre	Vizela	28	33	0																			
Haiti	MF	Danley Jean Jacques	Philadelphia Union	26	28	6																			
Haiti	MF	Carl Sainté	El Paso Locomotive FC	23	25	0																			
Haiti	MF	Jean-Ricner Bellegarde	Wolverhampton Wanderers	27	8	0																			
Haiti	MF	Woodensky Pierre	Violette	21	1	0																			
Haiti	MF	Dominique Simon	Tatran Prešov	25	0	0																			
Haiti	FW	Duckens Nazon	Esteghlal	32	76	44																			
Haiti	FW	Frantzdy Pierrot	Çaykur Rizespor	31	49	33																			
Haiti	FW	Derrick Etienne Jr.	Toronto FC	29	46	8																			
Haiti	FW	Louicius Deedson	FC Dallas	25	30	10																			
Haiti	FW	Ruben Providence	Almere City	24	13	2																			
Haiti	FW	Josué Casimir	Auxerre	24	5	0																			
Haiti	FW	Yassin Fortuné	Vizela	27	3	0																			
Haiti	FW	Wilson Isidor	Sunderland	25	2	1																			
Haiti	FW	Lenny Joseph	Ferencváros	25	0	0																			
Morocco	GK	Yassine Bounou	Al-Hilal	35	89	0																			
Morocco	GK	Munir Mohamedi	RS Berkane	37	51	0																			
Morocco	GK	Ahmed Reda Tagnaouti	AS FAR	30	3	0																			
Morocco	DF	Achraf Hakimi	Paris Saint-Germain	27	95	11	Captain																		
Morocco	DF	Nayef Aguerd	Marseille	30	64	2																			
Morocco	DF	Noussair Mazraoui	Manchester United	28	43	2																			
Morocco	DF	Youssef Belammari	Al Ahly	27	16	0																			
Morocco	DF	Anass Salah-Eddine	PSV Eindhoven	24	8	0																			
Morocco	DF	Chadi Riad	Crystal Palace	22	4	1																			
Morocco	DF	Issa Diop	Fulham	29	2	0																			
Morocco	DF	Zakaria El Ouahdi	Genk	24	2	0																			
Morocco	DF	Redouane Halhal	Mechelen	23	1	0																			
Morocco	MF	Sofyan Amrabat	Real Betis	29	73	0																			
Morocco	MF	Azzedine Ounahi	Girona	26	47	9																			
Morocco	MF	Bilal El Khannouss	VfB Stuttgart	22	35	3																			
Morocco	MF	Ismael Saibari	PSV Eindhoven	25	28	7																			
Morocco	MF	Neil El Aynaoui	Roma	24	15	2																			
Morocco	MF	Samir El Mourabet	Strasbourg	19	2	0																			
Morocco	MF	Ayyoub Bouaddi	Lille	18	1	0																			
Morocco	FW	Ayoub El Kaabi	Olympiacos	32	57	22																			
Morocco	FW	Soufiane Rahimi	Al Ain	30	35	11																			
Morocco	FW	Abde Ezzalzouli	Real Betis	24	35	2																			
Morocco	FW	Brahim Díaz	Real Madrid	26	24	13																			
Morocco	FW	Chemsdine Talbi	Sunderland	21	5	0																			
Morocco	FW	Gessime Yassine	Strasbourg	20	3	0																			
Morocco	FW	Ayoube Amaimouni	Eintracht Frankfurt	21	0	0																			
Scotland	GK	Craig Gordon	Heart of Midlothian	43	84	0																			
Scotland	GK	Angus Gunn	Nottingham Forest	30	21	0																			
Scotland	GK	Liam Kelly	Rangers	30	3	0																			
Scotland	DF	Andy Robertson	Liverpool	32	93	4	Captain																		
Scotland	DF	Grant Hanley	Hibernian	34	67	2																			
Scotland	DF	Kieran Tierney	Celtic	29	55	2																			
Scotland	DF	Scott McKenna	Dinamo Zagreb	29	50	1																			
Scotland	DF	Jack Hendry	Al-Ettifaq	31	37	3																			
Scotland	DF	Nathan Patterson	Everton	24	26	1																			
Scotland	DF	Anthony Ralston	Celtic	27	26	1																			
Scotland	DF	John Souttar	Rangers	29	23	2																			
Scotland	DF	Aaron Hickey	Brentford	24	20	0																			
Scotland	DF	Dominic Hyam	Wrexham	30	3	0																			
Scotland	MF	John McGinn	Aston Villa	31	85	20																			
Scotland	MF	Scott McTominay	Napoli	29	69	14																			
Scotland	MF	Ryan Christie	Bournemouth	31	67	10																			
Scotland	MF	Kenny McLean	Norwich City	34	57	3																			
Scotland	MF	Lewis Ferguson	Bologna	26	23	1																			
Scotland	MF	Ben Gannon-Doak	Bournemouth	20	13	1																			
Scotland	MF	Findlay Curtis	Kilmarnock	20	2	1																			
Scotland	MF	Tyler Fletcher	Manchester United	19	1	0																			
Scotland	FW	Lyndon Dykes	Charlton Athletic	30	51	10																			
Scotland	FW	Ché Adams	Torino	29	46	11																			
Scotland	FW	Lawrence Shankland	Heart of Midlothian	30	19	6																			
Scotland	FW	George Hirst	Ipswich Town	27	9	1																			
Scotland	FW	Ross Stewart	Southampton	29	2	0																			
Australia	GK	Mathew Ryan	Levante	34	104	0	Captain																		
Australia	GK	Paul Izzo	Randers	31	4	0																			
Australia	GK	Patrick Beach	Melbourne City	22	1	0																			
Australia	DF	Aziz Behich	Melbourne City	35	83	3																			
Australia	DF	Miloš Degenek	APOEL	32	56	1																			
Australia	DF	Harry Souttar	Leicester City	27	37	11																			
Australia	DF	Jordan Bos	Feyenoord	23	26	4																			
Australia	DF	Cameron Burgess	Swansea City	30	26	0																			
Australia	DF	Jason Geria	Albirex Niigata	33	13	0																			
Australia	DF	Alessandro Circati	Parma	22	12	1																			
Australia	DF	Kai Trewin	New York City	25	5	0																			
Australia	DF	Jacob Italiano	Grazer AK	24	4	0																			
Australia	DF	Lucas Herrington	Colorado Rapids	18	3	0																			
Australia	MF	Jackson Irvine	FC St. Pauli	33	81	14																			
Australia	MF	Ajdin Hrustic	Heracles Almelo	29	37	4																			
Australia	MF	Connor Metcalfe	FC St. Pauli	26	35	1																			
Australia	MF	Aiden O'Neill	New York City	27	30	0																			
Australia	MF	Paul Okon-Engstler	Sydney FC	21	5	0																			
Australia	MF	Cammy Devlin	Heart of Midlothian	28	4	0																			
Australia	FW	Mathew Leckie	Melbourne City	35	79	14																			
Australia	FW	Awer Mabil	Castellón	30	38	10																			
Australia	FW	Nestory Irankunda	Watford	20	14	5																			
Australia	FW	Mohamed Touré	Norwich City	22	9	2																			
Australia	FW	Nishan Velupillay	Melbourne Victory	25	7	3																			
Australia	FW	Cristian Volpato	Sassuolo	22	0	0																			
Australia	FW	Tete Yengi	Machida Zelvia	25	0	0																			
Paraguay	GK	Gatito Fernández	Cerro Porteño	38	30	0																			
Paraguay	GK	Orlando Gill	San Lorenzo	26	5	0																			
Paraguay	GK	Gastón Olveira	Olimpia	33	1	0																			
Paraguay	DF	Gustavo Velázquez	Cerro Porteño	35	12	1																			
Paraguay	DF	Omar Alderete	Sunderland	29	35	3																			
Paraguay	DF	Juan José Cáceres	Dynamo Moscow	26	16	0																			
Paraguay	DF	Fabián Balbuena	Grêmio	34	47	2																			
Paraguay	DF	Júnior Alonso	Atlético Mineiro	33	70	3																			
Paraguay	DF	José Canale	Lanús	29	1	0																			
Paraguay	DF	Gustavo Gómez	Palmeiras	33	88	4	Captain																		
Paraguay	DF	Alexandro Maidana	Talleres	20	1	0																			
Paraguay	MF	Ramón Sosa	Palmeiras	26	28	1																			
Paraguay	MF	Diego Gómez	Brighton & Hove Albion	23	23	3																			
Paraguay	MF	Miguel Almirón	Atlanta United FC	32	75	9																			
Paraguay	MF	Maurício	Palmeiras	24	2	0																			
Paraguay	MF	Andrés Cubas	Vancouver Whitecaps FC	30	32	0																			
Paraguay	MF	Damián Bobadilla	São Paulo	24	19	1																			
Paraguay	MF	Braian Ojeda	Orlando City SC	25	16	0																			
Paraguay	MF	Matías Galarza	Atlanta United FC	24	14	2																			
Paraguay	MF	Gustavo Caballero	Portsmouth	24	2	1																			
Paraguay	FW	Antonio Sanabria	Cremonese	30	47	7																			
Paraguay	FW	Kaku	Al-Ain	31	32	5																			
Paraguay	FW	Álex Arce	Independiente Rivadavia	30	14	1																			
Paraguay	FW	Julio Enciso	Strasbourg	22	31	4																			
Paraguay	FW	Gabriel Ávalos	Independiente	35	22	2																			
Paraguay	FW	Isidro Pitta	Red Bull Bragantino	26	5	0																			
Turkey	GK	Mert Günok	Fenerbahçe	37	37	0																			
Turkey	GK	Altay Bayındır	Manchester United	28	12	0																			
Turkey	GK	Uğurcan Çakır	Galatasaray	30	38	0																			
Turkey	DF	Zeki Çelik	Roma	29	60	3																			
Turkey	DF	Merih Demiral	Al-Ahli	28	61	6																			
Turkey	DF	Çağlar Söyüncü	Fenerbahçe	30	60	2																			
Turkey	DF	Eren Elmalı	Galatasaray	25	22	0																			
Turkey	DF	Abdülkerim Bardakcı	Galatasaray	31	26	2																			
Turkey	DF	Ozan Kabak	TSG Hoffenheim	26	29	2																			
Turkey	DF	Mert Müldür	Fenerbahçe	27	44	3																			
Turkey	DF	Ferdi Kadıoğlu	Brighton & Hove Albion	26	30	2																			
Turkey	DF	Samet Akaydin	Çaykur Rizespor	32	19	1																			
Turkey	MF	Salih Özcan	Borussia Dortmund	28	29	1																			
Turkey	MF	Orkun Kökçü	Beşiktaş	25	49	4																			
Turkey	MF	Hakan Çalhanoğlu	Inter Milan	32	104	22	Captain																		
Turkey	MF	İsmail Yüksek	Fenerbahçe	27	31	1																			
Turkey	MF	Kaan Ayhan	Galatasaray	31	73	5																			
Turkey	FW	Kerem Aktürkoğlu	Fenerbahçe	27	51	15																			
Turkey	FW	Arda Güler	Real Madrid	21	28	6																			
Turkey	FW	Deniz Gül	Porto	21	7	2																			
Turkey	FW	Kenan Yıldız	Juventus	21	28	5																			
Turkey	FW	İrfan Can Kahveci	Kasımpaşa	30	46	6																			
Turkey	FW	Yunus Akgün	Galatasaray	25	18	3																			
Turkey	FW	Barış Alper Yılmaz	Galatasaray	26	34	3																			
Turkey	FW	Oğuz Aydın	Fenerbahçe	25	10	0																			
Turkey	FW	Can Uzun	Eintracht Frankfurt	20	5	1																			
United States	GK	Matt Turner	New England Revolution	31	54	0																			
United States	GK	Matt Freese	New York City FC	27	14	0																			
United States	GK	Chris Brady	Chicago Fire FC	22	1	0																			
United States	DF	Sergiño Dest	PSV Eindhoven	25	38	3																			
United States	DF	Chris Richards	Crystal Palace	26	36	3																			
United States	DF	Antonee Robinson	Fulham	28	53	4																			
United States	DF	Auston Trusty	Celtic	27	7	0																			
United States	DF	Miles Robinson	FC Cincinnati	29	39	3																			
United States	DF	Tim Ream	Charlotte FC	38	81	1	Captain																		
United States	DF	Alex Freeman	Villarreal	21	16	2																			
United States	DF	Maximilian Arfsten	Columbus Crew	25	19	1																			
United States	DF	Mark McKenzie	Toulouse	27	28	0																			
United States	DF	Joe Scally	Borussia Mönchengladbach	23	25	0																			
United States	MF	Tyler Adams	Bournemouth	27	53	2																			
United States	MF	Giovanni Reyna	Borussia Mönchengladbach	23	37	9																			
United States	MF	Weston McKennie	Juventus	27	65	12																			
United States	MF	Sebastian Berhalter	Vancouver Whitecaps FC	25	12	1																			
United States	MF	Cristian Roldan	Seattle Sounders FC	31	46	0																			
United States	MF	Malik Tillman	Bayer Leverkusen	24	29	3																			
United States	FW	Ricardo Pepi	PSV Eindhoven	23	36	13																			
United States	FW	Christian Pulisic	Milan	27	85	33																			
United States	FW	Brenden Aaronson	Leeds United	25	57	9																			
United States	FW	Haji Wright	Coventry City	28	20	7																			
United States	FW	Folarin Balogun	Monaco	24	26	9																			
United States	FW	Timothy Weah	Marseille	26	50	7																			
United States	FW	Alejandro Zendejas	América	28	14	2																			
Curaçao	GK	Eloy Room	Miami FC	37	70	0																			
