Team,Pos.,Name,Captain,Status,Age,Caps,Goals,Club,Latest call-up,,Pos.,Player,Name,Captain,Status,Date of birth (age),Age,Caps,Goals,Club,Latest call-up
Mexico,DF,Jesús Orozco,,,24,9,0,Cruz Azul,"v.  Paraguay, 18 November 2025",Mexico,DF,Jesús Orozco,Jesús Orozco,,,19 February 2002 (age 24),24,9,0,Cruz Azul,"v.  Paraguay, 18 November 2025"
Mexico,DF,Mateo Chávez,,,21,7,0,AZ,"v.  Paraguay, 18 November 2025",Mexico,DF,Mateo Chávez,Mateo Chávez,,,11 May 2004 (age 21),21,7,0,AZ,"v.  Paraguay, 18 November 2025"
Mexico,DF,Rodrigo Huescas,,,22,3,0,Copenhagen,"v.  South Korea, 9 September 2025",Mexico,DF,Rodrigo Huescas,Rodrigo Huescas,,,18 September 2003 (age 22),22,3,0,Copenhagen,"v.  South Korea, 9 September 2025"
Mexico,DF,Juanjo Purata,,,28,1,0,UANL,"v.  South Korea, 9 September 2025",Mexico,DF,Juanjo Purata,Juanjo Purata,,,9 January 1998 (age 28),28,1,0,UANL,"v.  South Korea, 9 September 2025"
Mexico,DF,Gerardo Arteaga,,,27,27,2,Monterrey,Training camp 25–27 August 2025,Mexico,DF,Gerardo Arteaga,Gerardo Arteaga,,,7 September 1998 (age 27),27,27,2,Monterrey,Training camp 25–27 August 2025
Mexico,DF,Alonso Aceves,,,25,0,0,Monterrey,Training camp 25–27 August 2025,Mexico,DF,Alonso Aceves,Alonso Aceves,,,28 March 2001 (age 25),25,0,0,Monterrey,Training camp 25–27 August 2025
Mexico,DF,Diego Barbosa,,,29,0,0,Toluca,Training camp 25–27 August 2025,Mexico,DF,Diego Barbosa,Diego Barbosa,,,25 September 1996 (age 29),29,0,0,Toluca,Training camp 25–27 August 2025
Mexico,DF,Julián Araujo,,,24,16,0,Celtic,2025 CONCACAF Gold Cup,Mexico,DF,Julián Araujo,Julián Araujo,,,13 August 2001 (age 24),24,16,0,Celtic,2025 CONCACAF Gold Cup
Mexico,DF,Gilberto Sepúlveda,,,27,8,0,Guadalajara,"v.  Turkey, 10 June 2025",Mexico,DF,Gilberto Sepúlveda,Gilberto Sepúlveda,,,4 February 1999 (age 27),27,8,0,Guadalajara,"v.  Turkey, 10 June 2025"
Mexico,DF,Emilio Lara,,,23,2,0,Necaxa,"v.  Turkey, 10 June 2025",Mexico,DF,Emilio Lara,Emilio Lara,,,18 May 2002 (age 23),23,2,0,Necaxa,"v.  Turkey, 10 June 2025"
Mexico,DF,Salvador Reyes,,,27,2,0,León,2025 CONCACAF Gold Cup PRE,Mexico,DF,Salvador Reyes,Salvador Reyes,,,4 May 1998 (age 27),27,2,0,León,2025 CONCACAF Gold Cup PRE
Mexico,DF,Alejandro Gómez,,,24,1,0,Tijuana,2025 CONCACAF Gold Cup PRE,Mexico,DF,Alejandro Gómez,Alejandro Gómez,,,31 January 2002 (age 24),24,1,0,Tijuana,2025 CONCACAF Gold Cup PRE
Mexico,DF,José Castillo,,,24,0,0,Guadalajara,2025 CONCACAF Gold Cup PRE,Mexico,DF,José Castillo,José Castillo,,,2 December 2001 (age 24),24,0,0,Guadalajara,2025 CONCACAF Gold Cup PRE
Mexico,MF,Marcel Ruiz,,,25,17,0,Toluca,"v.  Iceland, 25 February 2026",Mexico,MF,Marcel Ruiz,Marcel Ruiz,,,26 October 2000 (age 25),25,17,0,Toluca,"v.  Iceland, 25 February 2026"
Mexico,MF,Efraín Álvarez,,,23,7,1,Guadalajara,"v.  Iceland, 25 February 2026",Mexico,MF,Efraín Álvarez,Efraín Álvarez,,,19 June 2002 (age 23),23,7,1,Guadalajara,"v.  Iceland, 25 February 2026"
Mexico,MF,Alexis Gutiérrez,,,25,5,0,América,"v.  Iceland, 25 February 2026",Mexico,MF,Alexis Gutiérrez,Alexis Gutiérrez,,,26 February 2001 (age 25),25,5,0,América,"v.  Iceland, 25 February 2026"
Mexico,MF,Luis Romo,,,30,60,4,Guadalajara,"v.  Bolivia, 25 January 2026",Mexico,MF,Luis Romo,Luis Romo,,,5 June 1995 (age 30),30,60,4,Guadalajara,"v.  Bolivia, 25 January 2026"
Mexico,MF,Diego Lainez,,,25,33,3,UANL,"v.  Bolivia, 25 January 2026",Mexico,MF,Diego Lainez,Diego Lainez,,,9 June 2000 (age 25),25,33,3,UANL,"v.  Bolivia, 25 January 2026"
Mexico,MF,Kevin Castañeda,,,26,2,0,Tijuana,"v.  Bolivia, 25 January 2026",Mexico,MF,Kevin Castañeda,Kevin Castañeda,,,28 October 1999 (age 26),26,2,0,Tijuana,"v.  Bolivia, 25 January 2026"
Mexico,MF,Iker Fimbres,,,20,0,0,Monterrey,"v.  Bolivia, 25 January 2026",Mexico,MF,Iker Fimbres,Iker Fimbres,,,2 June 2005 (age 20),20,0,0,Monterrey,"v.  Bolivia, 25 January 2026"
Mexico,MF,Gilberto Mora,,,17,5,0,Tijuana,"v.  Panama, 22 January 2026 INJ",Mexico,MF,Gilberto Mora,Gilberto Mora,,,14 October 2008 (age 17),17,5,0,Tijuana,"v.  Panama, 22 January 2026 INJ"
Mexico,MF,Edson Álvarez,captain,,28,95,7,Fenerbahçe,"v.  Paraguay, 18 November 2025",Mexico,MF,Edson Álvarez (captain),Edson Álvarez,captain,,24 October 1997 (age 28),28,95,7,Fenerbahçe,"v.  Paraguay, 18 November 2025"
Mexico,MF,Fidel Ambríz,,,23,1,0,Monterrey,"v.  Paraguay, 18 November 2025",Mexico,MF,Fidel Ambríz,Fidel Ambríz,,,21 March 2003 (age 23),23,1,0,Monterrey,"v.  Paraguay, 18 November 2025"
Mexico,MF,Jorge Ruvalcaba,,,24,1,0,New York Red Bulls,"v.  Paraguay, 18 November 2025",Mexico,MF,Jorge Ruvalcaba,Jorge Ruvalcaba,,,23 July 2001 (age 24),24,1,0,New York Red Bulls,"v.  Paraguay, 18 November 2025"
Mexico,MF,Ozziel Herrera,,,24,7,0,UANL,Training camp 25–27 August 2025,Mexico,MF,Ozziel Herrera,Ozziel Herrera,,,25 May 2001 (age 24),24,7,0,UANL,Training camp 25–27 August 2025
Mexico,MF,Jesús Ricardo Angulo,,,29,3,1,Toluca,Training camp 25–27 August 2025,Mexico,MF,Jesús Ricardo Angulo,Jesús Ricardo Angulo,,,20 February 1997 (age 29),29,3,1,Toluca,Training camp 25–27 August 2025
Mexico,MF,Isaías Violante,,,22,0,0,América,Training camp 25–27 August 2025,Mexico,MF,Isaías Violante,Isaías Violante,,,20 October 2003 (age 22),22,0,0,América,Training camp 25–27 August 2025
Mexico,MF,Luis Chávez,,,30,42,4,Dynamo Moscow,2025 CONCACAF Gold Cup,Mexico,MF,Luis Chávez,Luis Chávez,,,15 January 1996 (age 30),30,42,4,Dynamo Moscow,2025 CONCACAF Gold Cup
Mexico,MF,Jeremy Márquez,,,25,0,0,Cruz Azul,"v.  Turkey, 10 June 2025",Mexico,MF,Jeremy Márquez,Jeremy Márquez,,,21 June 2000 (age 25),25,0,0,Cruz Azul,"v.  Turkey, 10 June 2025"
Mexico,MF,Sebastián Córdova,,,28,18,3,Toluca,2025 CONCACAF Gold Cup PRE,Mexico,MF,Sebastián Córdova,Sebastián Córdova,,,12 June 1997 (age 28),28,18,3,Toluca,2025 CONCACAF Gold Cup PRE
Mexico,MF,Alan Cervantes,,,28,5,0,América,2025 CONCACAF Gold Cup PRE,Mexico,MF,Alan Cervantes,Alan Cervantes,,,17 January 1998 (age 28),28,5,0,América,2025 CONCACAF Gold Cup PRE
Mexico,MF,Hugo Camberos,,,19,0,0,Guadalajara,2025 CONCACAF Gold Cup PRE,Mexico,MF,Hugo Camberos,Hugo Camberos,,,21 January 2007 (age 19),19,0,0,Guadalajara,2025 CONCACAF Gold Cup PRE
Mexico,MF,Amaury Morales,,,20,0,0,Cruz Azul,2025 CONCACAF Gold Cup PRE,Mexico,MF,Amaury Morales,Amaury Morales,,,3 December 2005 (age 20),20,0,0,Cruz Azul,2025 CONCACAF Gold Cup PRE
Mexico,FW,Ángel Sepúlveda,,,35,12,3,Guadalajara,"v.  Bolivia, 25 January 2026",Mexico,FW,Ángel Sepúlveda,Ángel Sepúlveda,,,15 February 1991 (age 35),35,12,3,Guadalajara,"v.  Bolivia, 25 January 2026"
Mexico,FW,Hirving Lozano,,,30,75,18,San Diego,"v.  Paraguay, 18 November 2025",Mexico,FW,Hirving Lozano,Hirving Lozano,,,30 July 1995 (age 30),30,75,18,San Diego,"v.  Paraguay, 18 November 2025"
Mexico,FW,Santiago Giménez,,,25,46,6,Milan,"v.  Ecuador, 14 October 2025",Mexico,FW,Santiago Giménez,Santiago Giménez,,,18 April 2001 (age 25),25,46,6,Milan,"v.  Ecuador, 14 October 2025"
Mexico,FW,César Huerta,,,25,25,3,Anderlecht,"v.  Ecuador, 14 October 2025",Mexico,FW,César Huerta,César Huerta,,,3 December 2000 (age 25),25,25,3,Anderlecht,"v.  Ecuador, 14 October 2025"
Mexico,FW,Henry Martín,,,33,46,11,América,2025 CONCACAF Gold Cup INJ,Mexico,FW,Henry Martín,Henry Martín,,,18 November 1992 (age 33),33,46,11,América,2025 CONCACAF Gold Cup INJ
Mexico,FW,Stephano Carrillo,,,20,0,0,Dordrecht,2025 CONCACAF Gold Cup PRE,Mexico,FW,Stephano Carrillo,Stephano Carrillo,,,7 March 2006 (age 20),20,0,0,Dordrecht,2025 CONCACAF Gold Cup PRE
South Africa,GK,Brandon Petersen,,,31,0,0,Kaizer Chiefs,2025 Africa Cup of Nations PRE,South Africa,GK,Brandon Petersen,Brandon Petersen,,,22 September 1994 (age 31),31,0,0,Kaizer Chiefs,2025 Africa Cup of Nations PRE
South Africa,DF,Siyabonga Ngezana,,,28,11,0,FCSB,2025 Africa Cup of Nations,South Africa,DF,Siyabonga Ngezana,Siyabonga Ngezana,,,15 July 1997 (age 28),28,11,0,FCSB,2025 Africa Cup of Nations
South Africa,DF,Thabo Moloisane,,,27,2,0,Stellenbosch,2025 Africa Cup of Nations,South Africa,DF,Thabo Moloisane,Thabo Moloisane,,,24 February 1999 (age 27),27,2,0,Stellenbosch,2025 Africa Cup of Nations
South Africa,DF,Fawaaz Basadien,,,29,4,0,Mamelodi Sundowns,2025 Africa Cup of Nations PRE,South Africa,DF,Fawaaz Basadien,Fawaaz Basadien,,,23 December 1996 (age 29),29,4,0,Mamelodi Sundowns,2025 Africa Cup of Nations PRE
South Africa,DF,Malibongwe Khoza,,,22,4,0,Mamelodi Sundowns,2025 Africa Cup of Nations PRE,South Africa,DF,Malibongwe Khoza,Malibongwe Khoza,,,16 March 2004 (age 22),22,4,0,Mamelodi Sundowns,2025 Africa Cup of Nations PRE
South Africa,DF,Thabiso Monyane,,,25,2,0,Kaizer Chiefs,2025 Africa Cup of Nations PRE,South Africa,DF,Thabiso Monyane,Thabiso Monyane,,,30 April 2000 (age 25),25,2,0,Kaizer Chiefs,2025 Africa Cup of Nations PRE
South Africa,DF,Keegan Allan,,,25,0,0,AmaZulu,2025 Africa Cup of Nations PRE,South Africa,DF,Keegan Allan,Keegan Allan,,,7 August 2000 (age 25),25,0,0,AmaZulu,2025 Africa Cup of Nations PRE
South Africa,DF,Bradley Cross,,,25,0,0,Kaizer Chiefs,2025 Africa Cup of Nations PRE,South Africa,DF,Bradley Cross,Bradley Cross,,,30 January 2001 (age 25),25,0,0,Kaizer Chiefs,2025 Africa Cup of Nations PRE
South Africa,DF,Fezile Gcaba,,,27,0,0,Durban City,2025 Africa Cup of Nations PRE,South Africa,DF,Fezile Gcaba,Fezile Gcaba,,,3 March 1999 (age 27),27,0,0,Durban City,2025 Africa Cup of Nations PRE
South Africa,DF,Nyiko Mobbie,,,31,30,0,Siwelele,"v.  Nigeria, 9 September 2025",South Africa,DF,Nyiko Mobbie,Nyiko Mobbie,,,11 September 1994 (age 31),31,30,0,Siwelele,"v.  Nigeria, 9 September 2025"
South Africa,DF,Zuko Mdunyelwa,,,26,1,0,Mamelodi Sundowns,"v.  Nigeria, 9 September 2025",South Africa,DF,Zuko Mdunyelwa,Zuko Mdunyelwa,,,6 June 1999 (age 26),26,1,0,Mamelodi Sundowns,"v.  Nigeria, 9 September 2025"
South Africa,MF,Bathusi Aubaas,,,27,16,1,Mamelodi Sundowns,2025 Africa Cup of Nations,South Africa,MF,Bathusi Aubaas,Bathusi Aubaas,,,11 July 1998 (age 27),27,16,1,Mamelodi Sundowns,2025 Africa Cup of Nations
South Africa,MF,Sipho Mbule,,,28,8,0,Orlando Pirates,2025 Africa Cup of Nations,South Africa,MF,Sipho Mbule,Sipho Mbule,,,22 March 1998 (age 28),28,8,0,Orlando Pirates,2025 Africa Cup of Nations
South Africa,MF,Mduduzi Shabalala,,,22,1,0,Kaizer Chiefs,2025 Africa Cup of Nations,South Africa,MF,Mduduzi Shabalala,Mduduzi Shabalala,,,20 January 2004 (age 22),22,1,0,Kaizer Chiefs,2025 Africa Cup of Nations
South Africa,MF,Sphesihle Maduna,,,26,0,0,TS Galaxy,2025 Africa Cup of Nations PRE,South Africa,MF,Sphesihle Maduna,Sphesihle Maduna,,,26 December 1999 (age 26),26,0,0,TS Galaxy,2025 Africa Cup of Nations PRE
South Africa,MF,Siphesihle Mkhize,,,27,0,0,Sekhukhune United,2025 Africa Cup of Nations PRE,South Africa,MF,Siphesihle Mkhize,Siphesihle Mkhize,,,5 February 1999 (age 27),27,0,0,Sekhukhune United,2025 Africa Cup of Nations PRE
South Africa,MF,Masindi Nemtajela,,,24,0,0,Orlando Pirates,2025 Africa Cup of Nations PRE,South Africa,MF,Masindi Nemtajela,Masindi Nemtajela,,,23 August 2001 (age 24),24,0,0,Orlando Pirates,2025 Africa Cup of Nations PRE
South Africa,MF,Sinoxolo Kwayiba,,,26,5,1,Chippa United,"v.  Mozambique, 10 June 2025",South Africa,MF,Sinoxolo Kwayiba,Sinoxolo Kwayiba,,,15 February 2000 (age 26),26,5,1,Chippa United,"v.  Mozambique, 10 June 2025"
South Africa,MF,Simphiwe Selepe,,,21,2,0,Orlando Pirates,"v.  Mozambique, 10 June 2025",South Africa,MF,Simphiwe Selepe,Simphiwe Selepe,,,19 February 2005 (age 21),21,2,0,Orlando Pirates,"v.  Mozambique, 10 June 2025"
South Africa,FW,Elias Mokwana,,,26,11,2,Al-Hazem,2025 Africa Cup of Nations,South Africa,FW,Elias Mokwana,Elias Mokwana,,,8 September 1999 (age 26),26,11,2,Al-Hazem,2025 Africa Cup of Nations
South Africa,FW,Shandre Campbell,,,20,0,0,Club Brugge,2025 Africa Cup of Nations,South Africa,FW,Shandre Campbell,Shandre Campbell,,,15 July 2005 (age 20),20,0,0,Club Brugge,2025 Africa Cup of Nations
South Africa,FW,Mihlali Mayambela,,,29,16,2,Omonia,2025 Africa Cup of Nations PRE,South Africa,FW,Mihlali Mayambela,Mihlali Mayambela,,,25 August 1996 (age 29),29,16,2,Omonia,2025 Africa Cup of Nations PRE
South Africa,FW,Ashley Cupido,,,24,0,0,Stellenbosch,2025 Africa Cup of Nations PRE,South Africa,FW,Ashley Cupido,Ashley Cupido,,,5 May 2001 (age 24),24,0,0,Stellenbosch,2025 Africa Cup of Nations PRE
South Africa,FW,Puso Dithejane,,,21,0,0,Chicago Fire,2025 Africa Cup of Nations PRE,South Africa,FW,Puso Dithejane,Puso Dithejane,,,24 July 2004 (age 21),21,0,0,Chicago Fire,2025 Africa Cup of Nations PRE
South Africa,FW,Keletso Makgalwa,,,29,0,0,Sekhukhune United,2025 Africa Cup of Nations PRE,South Africa,FW,Keletso Makgalwa,Keletso Makgalwa,,,3 January 1997 (age 29),29,0,0,Sekhukhune United,2025 Africa Cup of Nations PRE
South Korea,GK,Lee Chang-geun,,,32,3,0,Daejeon Hana Citizen,2025 EAFF E-1 Football Championship,South Korea,GK,Lee Chang-geun,Lee Chang-geun,,,30 August 1993 (age 32),32,3,0,Daejeon Hana Citizen,2025 EAFF E-1 Football Championship
South Korea,GK,Kim Dong-heon,,,29,0,0,Incheon United,2025 EAFF E-1 Football Championship,South Korea,GK,Kim Dong-heon,Kim Dong-heon,,,3 March 1997 (age 29),29,0,0,Incheon United,2025 EAFF E-1 Football Championship
South Korea,DF,Jens Castrop,,,22,5,0,Borussia Mönchengladbach,"v.  Austria, 31 March 2026 INJ",South Korea,DF,Jens Castrop,Jens Castrop,,,29 July 2003 (age 22),22,5,0,Borussia Mönchengladbach,"v.  Austria, 31 March 2026 INJ"
South Korea,DF,Lee Myung-jae,,,32,10,0,Daejeon Hana Citizen,"v.  Ghana, 18 November 2025",South Korea,DF,Lee Myung-jae,Lee Myung-jae,,,4 November 1993 (age 32),32,10,0,Daejeon Hana Citizen,"v.  Ghana, 18 November 2025"
South Korea,DF,Jeong Sang-bin,,,24,3,1,St. Louis City,"v.  Paraguay, 14 October 2025",South Korea,DF,Jeong Sang-bin,Jeong Sang-bin,,,1 April 2002 (age 24),24,3,1,St. Louis City,"v.  Paraguay, 14 October 2025"
South Korea,DF,Kim Ji-soo,,,21,0,0,1. FC Kaiserslautern,"v.  Paraguay, 14 October 2025",South Korea,DF,Kim Ji-soo,Kim Ji-soo,,,24 December 2004 (age 21),21,0,0,1. FC Kaiserslautern,"v.  Paraguay, 14 October 2025"
South Korea,DF,Byeon Jun-soo,,,24,1,0,Gimcheon Sangmu,"v.  Mexico, 9 September 2025",South Korea,DF,Byeon Jun-soo,Byeon Jun-soo,,,30 November 2001 (age 24),24,1,0,Gimcheon Sangmu,"v.  Mexico, 9 September 2025"
South Korea,DF,Park Seung-wook,,,28,5,0,Shimizu S-Pulse,2025 EAFF E-1 Football Championship,South Korea,DF,Park Seung-wook,Park Seung-wook,,,7 May 1997 (age 28),28,5,0,Shimizu S-Pulse,2025 EAFF E-1 Football Championship
South Korea,DF,Cho Hyun-taek,,,24,1,0,Ulsan HD,2025 EAFF E-1 Football Championship,South Korea,DF,Cho Hyun-taek,Cho Hyun-taek,,,2 August 2001 (age 24),24,1,0,Ulsan HD,2025 EAFF E-1 Football Championship
South Korea,DF,Kim Tae-hyun,,,29,1,0,Jeonbuk Hyundai Motors,2025 EAFF E-1 Football Championship,South Korea,DF,Kim Tae-hyun,Kim Tae-hyun,,,19 December 1996 (age 29),29,1,0,Jeonbuk Hyundai Motors,2025 EAFF E-1 Football Championship
South Korea,DF,Seo Myung-gwan,,,23,1,0,Ulsan HD,2025 EAFF E-1 Football Championship,South Korea,DF,Seo Myung-gwan,Seo Myung-gwan,,,23 November 2002 (age 23),23,1,0,Ulsan HD,2025 EAFF E-1 Football Championship
South Korea,DF,Kwon Kyung-won,,,34,35,2,FC Anyang,"v.  Kuwait, 10 June 2025",South Korea,DF,Kwon Kyung-won,Kwon Kyung-won,,,31 January 1992 (age 34),34,35,2,FC Anyang,"v.  Kuwait, 10 June 2025"
South Korea,DF,Choi Jun,,,27,1,0,FC Seoul,"v.  Kuwait, 10 June 2025",South Korea,DF,Choi Jun,Choi Jun,,,17 April 1999 (age 27),27,1,0,FC Seoul,"v.  Kuwait, 10 June 2025"
South Korea,MF,Hwang In-beom,,,29,71,6,Feyenoord,"v.  Ivory Coast, 28 March 2026 INJ",South Korea,MF,Hwang In-beom,Hwang In-beom,,,20 September 1996 (age 29),29,71,6,Feyenoord,"v.  Ivory Coast, 28 March 2026 INJ"
South Korea,MF,Won Du-jae,,,28,11,0,Khor Fakkan,"v.  Ghana, 18 November 2025",South Korea,MF,Won Du-jae,Won Du-jae,,,18 November 1997 (age 28),28,11,0,Khor Fakkan,"v.  Ghana, 18 November 2025"
South Korea,MF,Seo Min-woo,,,28,4,0,Gangwon FC,"v.  Ghana, 18 November 2025",South Korea,MF,Seo Min-woo,Seo Min-woo,,,12 March 1998 (age 28),28,4,0,Gangwon FC,"v.  Ghana, 18 November 2025"
South Korea,MF,Yang Min-hyeok,,,20,2,0,Coventry City,"v.  Ghana, 18 November 2025",South Korea,MF,Yang Min-hyeok,Yang Min-hyeok,,,16 April 2006 (age 20),20,2,0,Coventry City,"v.  Ghana, 18 November 2025"
South Korea,MF,Lee Dong-gyeong,,,28,16,3,Ulsan HD,"v.  Bolivia, 14 November 2025 INJ",South Korea,MF,Lee Dong-gyeong,Lee Dong-gyeong,,,20 September 1997 (age 28),28,16,3,Ulsan HD,"v.  Bolivia, 14 November 2025 INJ"
South Korea,MF,Park Yong-woo,,,32,24,0,Al-Ain,"v.  Mexico, 9 September 2025",South Korea,MF,Park Yong-woo,Park Yong-woo,,,10 September 1993 (age 32),32,24,0,Al-Ain,"v.  Mexico, 9 September 2025"
South Korea,MF,Na Sang-ho,,,29,30,2,Machida Zelvia,2025 EAFF E-1 Football Championship,South Korea,MF,Na Sang-ho,Na Sang-ho,,,12 August 1996 (age 29),29,30,2,Machida Zelvia,2025 EAFF E-1 Football Championship
South Korea,MF,Moon Seon-min,,,33,21,2,FC Seoul,2025 EAFF E-1 Football Championship,South Korea,MF,Moon Seon-min,Moon Seon-min,,,9 June 1992 (age 33),33,21,2,FC Seoul,2025 EAFF E-1 Football Championship
South Korea,MF,Kang Sang-yoon,,,21,3,1,Jeonbuk Hyundai Motors,2025 EAFF E-1 Football Championship,South Korea,MF,Kang Sang-yoon,Kang Sang-yoon,,,31 May 2004 (age 21),21,3,1,Jeonbuk Hyundai Motors,2025 EAFF E-1 Football Championship
South Korea,MF,Jeon Jin-woo,,,26,2,0,Oxford United,2025 EAFF E-1 Football Championship INJ,South Korea,MF,Jeon Jin-woo,Jeon Jin-woo,,,9 September 1999 (age 26),26,2,0,Oxford United,2025 EAFF E-1 Football Championship INJ
South Korea,MF,Jeong Seung-won,,,29,2,0,FC Seoul,2025 EAFF E-1 Football Championship,South Korea,MF,Jeong Seung-won,Jeong Seung-won,,,27 February 1997 (age 29),29,2,0,FC Seoul,2025 EAFF E-1 Football Championship
South Korea,MF,Kim Bong-soo,,,26,2,0,Daejeon Hana Citizen,2025 EAFF E-1 Football Championship,South Korea,MF,Kim Bong-soo,Kim Bong-soo,,,26 December 1999 (age 26),26,2,0,Daejeon Hana Citizen,2025 EAFF E-1 Football Championship
South Korea,MF,Lee Seung-won,,,23,2,0,Gangwon FC,2025 EAFF E-1 Football Championship,South Korea,MF,Lee Seung-won,Lee Seung-won,,,6 March 2003 (age 23),23,2,0,Gangwon FC,2025 EAFF E-1 Football Championship
South Korea,MF,Mo Jae-hyeon,,,29,2,0,Gangwon FC,2025 EAFF E-1 Football Championship,South Korea,MF,Mo Jae-hyeon,Mo Jae-hyeon,,,24 September 1996 (age 29),29,2,0,Gangwon FC,2025 EAFF E-1 Football Championship
South Korea,FW,Oh Se-hun,,,27,10,2,Shimizu S-Pulse,"v.  Mexico, 9 September 2025",South Korea,FW,Oh Se-hun,Oh Se-hun,,,15 January 1999 (age 27),27,10,2,Shimizu S-Pulse,"v.  Mexico, 9 September 2025"
South Korea,FW,Joo Min-kyu,,,36,11,3,Daejeon Hana Citizen,2025 EAFF E-1 Football Championship,South Korea,FW,Joo Min-kyu,Joo Min-kyu,,,13 April 1990 (age 36),36,11,3,Daejeon Hana Citizen,2025 EAFF E-1 Football Championship
South Korea,FW,Lee Ho-jae,,,25,3,1,Pohang Steelers,2025 EAFF E-1 Football Championship,South Korea,FW,Lee Ho-jae,Lee Ho-jae,,,14 October 2000 (age 25),25,3,1,Pohang Steelers,2025 EAFF E-1 Football Championship
Czech Republic,GK,Jakub Markovič,,,24,0,0,Slavia Prague,"v.  Gibraltar, 17 November 2025",Czech Republic,GK,Jakub Markovič,Jakub Markovič,,,13 July 2001 (age 24),24,0,0,Slavia Prague,"v.  Gibraltar, 17 November 2025"
Czech Republic,GK,Jindřich Staněk,,,30,14,0,Slavia Prague,"v.  Croatia, 9 October 2025 INJ",Czech Republic,GK,Jindřich Staněk,Jindřich Staněk,,,27 April 1996 (age 30),30,14,0,Slavia Prague,"v.  Croatia, 9 October 2025 INJ"
Czech Republic,GK,Vítězslav Jaroš,,,24,2,0,Ajax,"v.  Croatia, 9 October 2025 INJ",Czech Republic,GK,Vítězslav Jaroš,Vítězslav Jaroš,,,23 July 2001 (age 24),24,2,0,Ajax,"v.  Croatia, 9 October 2025 INJ"
Czech Republic,DF,David Douděra,,,27,15,2,Slavia Prague,"v.  Gibraltar, 17 November 2025",Czech Republic,DF,David Douděra,David Douděra,,,31 May 1998 (age 27),27,15,2,Slavia Prague,"v.  Gibraltar, 17 November 2025"
